push_ms,mean_n_in_batch,frac_full,batches_s,frames_s,e2e_mean_ms,e2e_p99_ms,compute_mean_ms,frac_0,frac_1,frac_2,frac_3,frac_4,arrivals,processed,coverage,dets_total,dets_per_frame,dets_per_frame_cam0,dets_per_frame_cam1,dets_per_frame_cam2,dets_per_frame_cam3,distinct_tracks,match_frames,det_agree_pct,det_absdiff_mean
1,1.002,0.000,117.59,117.85,15.27,28.93,15.00,0.0000,0.9978,0.0022,0.0000,0.0000,5291,5291,1.0000,4857,1.035,0.821,2.179,0.730,0.412,63,4634,100.00,0.0000
5,1.199,0.001,98.21,117.76,18.37,52.19,15.32,0.0000,0.8045,0.1929,0.0015,0.0010,5291,5291,1.0000,4857,1.035,0.821,2.177,0.730,0.413,63,4634,100.00,0.0000
10,1.860,0.002,63.37,117.86,30.48,111.59,19.44,0.0000,0.1899,0.7624,0.0457,0.0020,5287,5287,1.0000,4856,1.036,0.822,2.179,0.730,0.413,63,4634,100.00,0.0000
20,3.403,0.573,33.67,114.57,378.15,1317.81,287.28,0.0000,0.0129,0.1447,0.2688,0.5735,5114,5114,1.0000,4647,1.029,0.801,2.192,0.725,0.400,62,4475,99.20,0.0092
33.3,3.853,0.865,30.64,118.06,69.26,149.28,33.32,0.0000,0.0017,0.0083,0.1255,0.8645,5281,5281,1.0000,4854,1.037,0.825,2.179,0.730,0.412,63,4634,100.00,0.0000
50,3.918,0.924,30.21,118.39,93.93,225.04,33.36,0.0000,0.0008,0.0042,0.0708,0.9242,5271,5271,1.0000,4846,1.037,0.826,2.179,0.730,0.409,63,4634,100.00,0.0000
66.7,3.950,0.950,29.96,118.33,109.65,241.37,33.92,0.0000,0.0000,0.0000,0.0501,0.9499,5260,5260,1.0000,4838,1.038,0.827,2.181,0.730,0.407,62,4634,100.00,0.0000
100,3.955,0.957,29.92,118.32,236.07,318.86,34.97,0.0000,0.0009,0.0009,0.0409,0.9574,5234,5234,1.0000,4826,1.041,0.832,2.195,0.730,0.401,62,,,
