push_ms,mean_n_in_batch,frac_full,batches_s,frames_s,e2e_mean_ms,e2e_p99_ms,compute_mean_ms,frac_0,frac_1,frac_2,frac_3,frac_4,arrivals,processed,coverage,dets_total,dets_per_frame,dets_per_frame_cam0,dets_per_frame_cam1,dets_per_frame_cam2,dets_per_frame_cam3,distinct_tracks,match_frames,det_agree_pct,det_absdiff_mean
1,2.335,0.232,40.56,94.71,190.20,289.33,175.02,0.0000,0.3421,0.2128,0.2128,0.2323,5286,4225,0.7993,3709,1.023,0.856,2.207,0.661,0.361,54,3624,96.61,0.0392
5,2.491,0.255,39.83,99.20,205.59,549.96,184.48,0.0000,0.2291,0.3057,0.2106,0.2546,5233,4370,0.8351,3922,1.040,0.871,2.202,0.674,0.386,61,3769,97.64,0.0247
10,2.569,0.259,40.69,104.52,198.85,295.17,171.70,0.0000,0.2081,0.2737,0.2594,0.2587,5284,4655,0.8810,4215,1.039,0.848,2.209,0.695,0.393,57,4053,98.00,0.0207
20,2.960,0.341,39.74,117.63,146.06,250.83,106.09,0.0000,0.0537,0.2732,0.3321,0.3410,5292,5256,0.9932,4827,1.037,0.825,2.177,0.727,0.413,62,4601,100.00,0.0000
33.3,3.854,0.866,30.52,117.62,105.95,152.75,36.20,0.0000,0.0017,0.0091,0.1229,0.8663,5293,5260,0.9938,4828,1.036,0.824,2.179,0.728,0.412,62,4612,100.00,0.0000
50,3.911,0.917,30.15,117.90,132.98,186.55,36.53,0.0000,0.0008,0.0042,0.0783,0.9166,5292,5244,0.9909,4813,1.036,0.826,2.185,0.722,0.406,62,4613,99.96,0.0004
66.7,3.950,0.952,29.84,117.85,173.50,229.60,36.83,0.0000,0.0009,0.0009,0.0460,0.9523,5288,5232,0.9894,4813,1.039,0.830,2.191,0.728,0.402,62,4618,100.00,0.0000
100,3.951,0.953,29.81,117.79,214.84,256.40,36.30,0.0000,0.0009,0.0009,0.0451,0.9532,5289,5219,0.9868,4810,1.041,0.836,2.193,0.728,0.402,62,,,
