push_ms,mean_n_in_batch,frac_full,batches_s,frames_s,e2e_mean_ms,e2e_p99_ms,compute_mean_ms,frac_0,frac_1,frac_2,frac_3,frac_4,arrivals,processed,coverage,dets_total,dets_per_frame,dets_per_frame_cam0,dets_per_frame_cam1,dets_per_frame_cam2,dets_per_frame_cam3,distinct_tracks,match_frames,det_agree_pct,det_absdiff_mean
1,2.792,0.355,42.29,118.10,176.06,242.91,151.32,0.0000,0.1746,0.2130,0.2579,0.3545,5279,5279,1.0000,4846,1.036,0.824,2.176,0.728,0.412,63,4634,100.00,0.0000
5,3.225,0.562,35.74,115.29,375.07,1393.37,311.15,0.0000,0.0953,0.1458,0.1970,0.5619,5169,5169,1.0000,4748,1.039,0.824,2.162,0.745,0.422,63,4520,100.00,0.0000
10,2.823,0.339,41.80,118.03,193.14,273.52,169.97,0.0000,0.1214,0.2725,0.2676,0.3386,5278,5278,1.0000,4846,1.036,0.824,2.178,0.728,0.412,63,4634,100.00,0.0000
20,2.853,0.218,41.36,118.02,96.36,150.95,78.39,0.0000,0.0209,0.3227,0.4387,0.2178,5289,5289,1.0000,4851,1.035,0.821,2.175,0.728,0.414,63,4636,100.00,0.0000
33.3,3.852,0.863,30.61,117.91,66.50,149.63,30.46,0.0000,0.0008,0.0099,0.1259,0.8633,5289,5289,1.0000,4852,1.035,0.822,2.173,0.728,0.414,63,4636,100.00,0.0000
50,3.918,0.924,30.17,118.21,91.91,221.18,31.18,0.0000,0.0017,0.0025,0.0715,0.9242,5275,5275,1.0000,4843,1.036,0.825,2.175,0.728,0.411,63,4636,100.00,0.0000
66.7,3.948,0.948,29.94,118.20,106.16,221.34,30.58,0.0000,0.0000,0.0000,0.0517,0.9483,5265,5265,1.0000,4834,1.036,0.826,2.175,0.729,0.409,62,4636,100.00,0.0000
100,3.953,0.957,29.84,117.96,232.03,292.25,30.82,0.0000,0.0017,0.0000,0.0417,0.9566,5236,5236,1.0000,4820,1.040,0.831,2.190,0.728,0.402,62,,,
