batch_idx,batch_pts_ns,mono_ns,real_ns,n_frames
627,29548070999,10717409653704,1783482460233033640,4
628,29580104000,10717441652176,1783482460265032144,4
629,29683467000,10717650273323,1783482460473653291,4
630,29715487999,10717650391628,1783482460473771596,4
631,29747508999,10717650470764,1783482460473850700,4
632,29779530000,10717650544396,1783482460473924332,4
633,29811550999,10717673046009,1783482460496425977,4
634,29843571999,10717705094722,1783482460528474690,4
635,29875593000,10717737064906,1783482460560444874,4
636,29907613999,10717769178579,1783482460592558515,4
637,30003676999,10717977757837,1783482460801137773,4
638,30035697999,10717977887662,1783482460801267630,4
639,30067719000,10717977979567,1783482460801359535,4
640,30099739999,10717978056047,1783482460801436015,4
641,30131760999,10718186644073,1783482461010024009,4
642,30163782000,10718186747946,1783482461010127914,4
643,30195802999,10718186831115,1783482461010211083,4
644,30271967999,10718186924811,1783482461010304747,4
645,30303996999,10718186994188,1783482461010374124,4
646,30348896000,10718210476383,1783482461033856351,4
647,30380928999,10718242598600,1783482461065978568,4
648,30412961999,10718274594576,1783482461097974544,4
649,30444995000,10718306610297,1783482461129990265,4
650,30548034000,10718515225587,1783482461338605555,4
651,30580054999,10718515343124,1783482461338723060,4
652,30612075999,10718515425140,1783482461338805108,4
653,30644097000,10718515499285,1783482461338879253,4
654,30676117999,10718715647674,1783482461539027642,4
655,30708138999,10718715801403,1783482461539181371,4
656,30740160000,10718715885468,1783482461539265404,4
657,30772180999,10718715967900,1783482461539347836,4
658,30804201999,10718716180957,1783482461539560925,4
659,30880518999,10718924770264,1783482461748150232,4
660,30912548000,10718924894872,1783482461748274808,4
661,30944576999,10718924984857,1783482461748364825,4
662,30976605999,10718925053753,1783482461748433689,4
663,31085654999,10719133597779,1783482461956977747,4
664,31117688000,10719133710228,1783482461957090196,4
665,31149720999,10719133795477,1783482461957175445,4
666,31181753999,10719133876245,1783482461957256213,4
667,31213787000,10719133947158,1783482461957327126,4
668,31284516999,10719342522224,1783482462165902160,4
669,31316538000,10719342628624,1783482462166008560,4
670,31348558999,10719342733809,1783482462166113745,4
671,31424288000,10719342808594,1783482462166188562,4
672,31476642999,10719342890194,1783482462166270130,4
673,31508664000,10719370119869,1783482462193499837,4
674,31540684999,10719402134085,1783482462225514053,4
675,31572705999,10719434160782,1783482462257540750,4
676,31662248999,10719642713544,1783482462466093480,4
677,31700790000,10719642824392,1783482462466204360,4
678,31732810999,10719642908745,1783482462466288713,4
679,31764831999,10719642983113,1783482462466363049,4
680,31796853000,10719851546084,1783482462674926052,4
681,31828873999,10719851659780,1783482462675039748,4
682,31860894999,10719851744069,1783482462675124037,4
683,31892916000,10719851823333,1783482462675203269,4
684,31924936999,10719851909894,1783482462675289830,4
685,31956957999,10719851971430,1783482462675351366,4
686,32001533999,10719874090129,1783482462697470097,4
687,32033562999,10719895172917,1783482462718552853,4
688,32065592000,10719927139293,1783482462750519261,4
689,32097620999,10719959123205,1783482462782503173,4
