push_ms,mean_n_in_batch,frac_full,batches_s,frames_s,e2e_mean_ms,e2e_p99_ms,compute_mean_ms,frac_0,frac_1,frac_2,frac_3,frac_4
1,2.861,0.402,31.10,88.97,177.59,285.31,125.69,0.0000,0.1431,0.2545,0.2008,0.4016
5,3.588,0.682,29.61,106.25,156.13,290.46,126.66,0.0000,0.0188,0.0565,0.2427,0.6820
10,3.740,0.832,28.94,108.25,105.36,241.25,95.06,0.0000,0.0405,0.0107,0.1173,0.8316
20,3.874,0.882,28.79,111.51,83.00,225.62,71.18,0.0000,0.0021,0.0043,0.1113,0.8822
33.3,3.931,0.936,28.09,110.42,110.33,246.71,86.41,0.0000,0.0000,0.0044,0.0597,0.9358
50,3.953,0.957,29.00,114.62,110.21,251.40,55.11,0.0000,0.0000,0.0043,0.0385,0.9572
66.7,3.962,0.968,29.07,115.18,131.06,222.36,49.48,0.0000,0.0000,0.0064,0.0256,0.9680
100,3.982,0.989,27.26,108.56,144.42,214.62,34.54,0.0000,0.0023,0.0023,0.0068,0.9887
