batch_idx,t_mono,n_in_batch,n_active,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3
75,4.3953,2,2,33333,4,22.285,172.640,2,6,1,1,0,0
76,4.4306,2,2,33333,4,22.914,174.913,2,6,1,1,0,0
77,4.4649,2,2,33333,4,22.182,172.497,2,6,1,1,0,0
78,4.5004,2,2,33333,4,22.836,174.627,2,6,1,1,0,0
79,4.5344,2,2,33333,4,21.905,171.933,2,6,1,1,0,0
80,4.5698,2,2,33333,4,22.411,173.312,2,6,1,1,0,0
81,4.6040,2,2,33333,4,21.768,172.185,2,6,1,1,0,0
82,4.6404,2,2,33333,4,23.315,174.188,2,6,1,1,0,0
83,4.6746,2,2,33333,4,22.482,172.659,2,6,1,1,0,0
84,4.7094,2,2,33333,4,22.343,173.959,2,6,1,1,0,0
85,4.7453,2,2,33333,4,22.353,174.217,1,6,1,0,0,0
86,4.7798,2,2,33333,4,22.002,174.903,1,6,1,0,0,0
87,4.8144,2,2,33333,4,21.670,172.745,1,6,1,0,0,0
88,4.8503,2,2,33333,4,22.531,174.589,1,6,1,0,0,0
89,4.8855,2,2,33333,4,22.768,174.599,2,7,1,1,0,0
90,4.9199,2,2,33333,4,22.467,173.494,2,7,1,1,0,0
91,4.9550,2,2,33333,4,22.592,173.995,2,7,1,1,0,0
92,4.9906,2,2,33333,4,23.354,175.109,2,7,1,1,0,0
93,5.0247,2,2,33333,4,22.533,173.156,2,7,1,1,0,0
94,5.0587,2,2,33333,4,21.865,171.924,2,7,1,1,0,0
95,5.0947,2,2,33333,4,22.921,173.454,2,7,1,1,0,0
96,5.1291,2,2,33333,4,22.570,172.639,2,7,1,1,0,0
97,5.1634,2,2,33333,4,22.030,171.281,1,7,1,0,0,0
98,5.1985,2,2,33333,4,22.442,172.656,1,7,1,0,0,0
99,5.2335,2,2,33333,4,22.482,173.512,1,7,1,0,0,0
100,5.2989,3,2,33333,4,30.939,202.863,2,7,1,0,0,0
101,5.3382,4,2,33333,4,37.681,207.910,2,7,1,0,0,0
102,5.4087,4,2,33333,4,69.481,208.967,0,7,0,0,0,0
103,5.4130,4,2,33333,4,71.686,112.890,1,7,0,1,0,0
104,5.4349,2,2,33333,4,58.919,93.663,0,7,0,0,0,0
105,5.4793,4,2,33333,4,67.532,69.213,2,7,0,1,0,0
106,5.4849,4,2,33333,4,68.860,70.676,3,7,1,1,0,0
107,5.5091,2,2,33333,4,39.448,73.025,2,7,1,1,0,0
108,5.5517,4,2,33333,4,63.365,71.042,3,7,0,1,0,0
109,5.5605,4,2,33333,4,57.740,68.461,4,7,1,1,0,0
110,5.5826,2,2,33333,4,39.089,72.731,2,7,1,1,0,0
111,5.6281,4,2,33333,4,66.953,74.928,3,7,0,1,0,0
112,5.6330,4,2,33333,4,58.720,68.542,4,7,1,1,0,0
113,5.6553,2,2,33333,4,37.807,71.345,1,7,0,1,0,0
114,5.7000,4,2,33333,4,62.163,70.581,3,7,0,1,0,0
115,5.7054,4,2,33333,4,54.865,64.124,5,8,1,2,0,0
116,5.7286,2,2,33333,4,38.549,72.168,2,8,1,1,0,0
117,5.7708,4,2,33333,4,62.295,69.814,6,8,1,2,0,0
118,5.7847,4,2,33333,4,60.013,66.356,3,8,0,1,0,0
119,5.8191,4,2,33333,4,33.312,66.923,5,8,1,1,0,0
120,5.8534,4,2,33333,4,33.752,64.918,4,8,0,2,0,0
121,5.8860,4,2,33333,4,33.268,64.228,6,8,1,2,0,0
122,5.9197,4,2,33333,4,34.063,64.471,6,8,1,2,0,0
123,5.9536,4,2,33333,4,33.969,64.578,6,8,1,2,0,0
124,5.9864,4,2,33333,4,34.254,64.127,6,8,1,2,0,0
125,6.0196,4,2,33333,4,33.644,64.366,5,8,1,1,0,0
126,6.0531,4,2,33333,4,33.946,64.193,3,8,0,1,0,0
127,6.0862,4,2,33333,4,33.717,64.280,2,8,0,1,0,0
128,6.1182,4,2,33333,4,32.536,62.676,2,8,0,1,0,0
129,6.1522,4,2,33333,4,33.623,63.621,4,8,1,1,0,0
130,6.1850,4,2,33333,4,32.043,63.141,3,8,1,1,0,0
131,6.2187,4,2,33333,4,32.944,63.427,3,8,1,1,0,0
132,6.2528,4,2,33333,4,33.354,64.198,3,8,1,1,0,0
133,6.2865,4,2,33333,4,33.534,64.442,3,9,0,1,0,0
134,6.3195,4,2,33333,4,33.675,64.152,2,9,0,1,0,0
135,6.3532,4,2,33333,4,34.075,64.556,2,9,0,1,0,0
136,6.3861,4,2,33333,4,33.651,63.971,2,9,0,1,0,0
137,6.4185,4,2,33333,4,32.851,63.280,2,9,0,1,0,0
138,6.4528,4,2,33333,4,33.716,64.114,4,9,1,1,0,0
139,6.4856,4,2,33333,4,32.343,63.547,4,9,1,1,0,0
140,6.5187,4,2,33333,4,33.437,62.976,4,9,1,1,0,0
141,6.5533,4,2,33333,4,33.865,64.807,4,9,1,1,0,0
142,6.5865,4,2,33333,4,33.872,64.199,2,9,0,1,0,0
143,6.6193,4,2,33333,4,33.495,63.860,2,9,0,1,0,0
144,6.6523,4,2,33333,4,33.443,63.268,2,9,0,1,0,0
145,6.6862,4,2,33333,4,33.864,64.099,2,9,0,1,0,0
146,6.7190,4,2,33333,4,32.940,63.724,2,9,0,1,0,0
147,6.7531,4,2,33333,4,33.709,60.868,2,9,0,1,0,0
148,6.7861,4,2,33333,4,33.629,64.313,2,9,0,1,0,0
149,6.8196,4,2,33333,4,33.306,64.182,2,9,0,1,0,0
150,6.8529,4,2,33333,4,33.842,64.171,2,9,0,1,0,0
151,6.8856,4,2,33333,4,32.352,63.581,2,9,0,1,0,0
152,6.9193,4,2,33333,4,33.473,63.542,2,9,0,1,0,0
153,6.9536,4,2,33333,4,33.793,64.921,2,9,0,1,0,0
154,6.9866,4,2,33333,4,33.706,64.622,2,9,0,1,0,0
155,7.0189,4,2,33333,4,33.028,59.843,2,9,0,1,0,0
156,7.0525,4,2,33333,4,33.508,63.656,2,9,0,1,0,0
157,7.0865,4,2,33333,4,33.402,64.611,2,9,0,1,0,0
158,7.1192,4,2,33333,4,33.465,63.562,2,9,0,1,0,0
159,7.1528,4,2,33333,4,33.138,64.076,2,9,0,1,0,0
160,7.1861,4,2,33333,4,33.009,64.280,2,9,0,1,0,0
161,7.2198,4,2,33333,4,34.091,64.537,2,9,0,1,0,0
162,7.2532,4,2,33333,4,33.996,64.657,2,9,0,1,0,0
163,7.2860,4,2,33333,4,34.123,60.308,0,9,0,0,0,0
164,7.3201,4,2,33333,4,33.611,64.283,2,9,0,1,0,0
165,7.3528,4,2,33333,4,33.803,64.224,2,9,0,1,0,0
166,7.3869,4,2,33333,4,34.084,65.009,2,9,0,1,0,0
167,7.4190,4,2,33333,4,33.110,63.713,2,9,0,1,0,0
168,7.4523,4,2,33333,4,33.025,63.120,2,9,0,1,0,0
169,7.4859,4,2,33333,4,33.126,63.642,2,9,0,1,0,0
170,7.5196,4,2,33333,4,33.410,64.083,2,9,0,1,0,0
171,7.5530,4,2,33333,4,33.777,64.553,2,9,0,1,0,0
172,7.5862,4,2,33333,4,33.649,64.001,2,9,0,1,0,0
173,7.6199,4,2,33333,4,33.386,64.331,2,9,0,1,0,0
174,7.6525,4,2,33333,4,33.437,63.872,2,9,0,1,0,0
175,7.6854,4,2,33333,4,33.373,63.462,2,9,0,1,0,0
176,7.7195,4,2,33333,4,33.451,64.377,2,9,0,1,0,0
177,7.7528,4,2,33333,4,33.686,64.132,2,9,0,1,0,0
178,7.7869,4,2,33333,4,33.654,65.117,1,9,0,0,0,0
179,7.8191,4,2,33333,4,33.520,63.631,0,9,0,0,0,0
180,7.8529,4,2,33333,4,33.431,64.058,0,9,0,0,0,0
181,7.8859,4,2,33333,4,33.300,63.800,0,9,0,0,0,0
182,7.9193,4,2,33333,4,33.195,63.879,0,9,0,0,0,0
183,7.9531,4,2,33333,4,33.465,64.618,0,9,0,0,0,0
184,7.9868,4,2,33333,4,33.995,64.850,0,9,0,0,0,0
185,8.0189,4,2,33333,4,33.357,63.703,0,9,0,0,0,0
186,8.0515,4,2,33333,4,32.909,62.946,0,9,0,0,0,0
187,8.0860,4,2,33333,4,33.581,64.297,0,9,0,0,0,0
188,8.1200,4,2,33333,4,33.616,64.622,0,9,0,0,0,0
189,8.1529,4,2,33333,4,33.798,63.714,0,9,0,0,0,0
190,8.1862,4,2,33333,4,33.690,64.240,2,11,0,2,0,0
191,8.2198,4,2,33333,4,33.687,64.456,4,11,0,2,0,0
192,8.2528,4,2,33333,4,33.752,64.195,4,11,0,2,0,0
193,8.2868,4,2,33333,4,33.618,65.004,4,11,0,2,0,0
194,8.3194,4,2,33333,4,33.513,64.187,4,11,0,2,0,0
195,8.3529,4,2,33333,4,33.762,64.119,4,11,0,2,0,0
196,8.3868,4,2,33333,4,33.498,64.594,3,11,0,1,0,0
197,8.4195,4,2,33333,4,33.694,64.120,2,11,0,1,0,0
198,8.4528,4,2,33333,4,33.359,64.218,2,11,0,1,0,0
199,8.4868,4,2,33333,4,34.090,64.882,2,11,0,1,0,0
200,8.5197,4,2,33333,4,33.808,64.445,3,11,0,2,0,0
201,8.5531,4,2,33333,4,33.530,64.412,3,11,0,2,0,0
202,8.5862,4,2,33333,4,33.973,63.974,3,11,0,2,0,0
203,8.6201,4,2,33333,4,33.398,64.824,3,11,0,1,0,0
204,8.6528,4,2,33333,4,33.726,64.125,2,11,0,1,0,0
205,8.6861,4,2,33333,4,33.307,63.996,2,11,0,1,0,0
206,8.7195,4,2,33333,4,33.058,64.263,2,11,0,1,0,0
207,8.7527,4,2,33333,4,33.591,63.940,2,11,0,1,0,0
208,8.7867,4,2,33333,4,33.659,64.695,3,11,0,2,0,0
209,8.8192,4,2,33333,4,33.770,63.888,4,11,0,2,0,0
210,8.8532,4,2,33333,4,33.368,64.689,2,11,0,1,0,0
211,8.8863,4,2,33333,4,33.981,64.274,4,11,0,2,0,0
212,8.9202,4,2,33333,4,33.494,64.932,4,11,0,2,0,0
213,8.9515,4,2,33333,4,32.462,62.620,2,11,0,1,0,0
214,8.9850,4,2,33333,4,32.819,63.051,4,11,0,2,0,0
215,9.0192,4,2,33333,4,33.489,63.903,2,11,0,1,0,0
216,9.0530,4,2,33333,4,33.379,64.295,3,11,0,1,0,0
217,9.0863,4,2,33333,4,33.728,64.083,2,11,0,1,0,0
218,9.1197,4,2,33333,4,33.448,64.179,4,11,0,2,0,0
219,9.1528,4,2,33333,4,33.684,63.974,4,11,0,2,0,0
220,9.1868,4,2,33333,4,33.603,64.624,2,11,0,1,0,0
221,9.2195,4,2,33333,4,33.993,64.210,2,11,0,1,0,0
222,9.2541,4,2,33333,4,34.212,65.390,3,11,0,2,0,0
223,9.2862,4,2,33333,4,33.690,64.147,3,11,0,1,0,0
224,9.3209,4,2,33333,4,34.254,65.439,4,11,0,2,0,0
225,9.3524,4,2,33333,4,33.585,63.521,2,11,0,1,0,0
226,9.3861,4,2,33333,4,33.022,63.241,4,12,1,1,0,0
227,9.4193,4,2,33333,4,33.658,63.771,4,12,1,1,0,0
228,9.4529,4,2,33333,4,33.651,64.335,4,12,1,1,0,0
229,9.4861,4,2,33333,4,33.759,64.079,4,12,1,1,0,0
230,9.5194,4,2,33333,4,33.345,64.085,4,12,1,1,0,0
231,9.5531,4,2,33333,4,33.711,64.226,4,12,1,1,0,0
232,9.5860,4,2,33333,4,33.984,64.101,4,12,1,1,0,0
233,9.6195,4,2,33333,4,32.940,64.453,4,12,1,1,0,0
234,9.6528,4,2,33333,4,33.806,64.041,6,12,1,2,0,0
235,9.6862,4,2,33333,4,32.854,64.104,6,12,1,2,0,0
236,9.7196,4,2,33333,4,32.985,63.970,5,12,1,2,0,0
237,9.7531,4,2,33333,4,34.008,63.902,6,12,1,2,0,0
238,9.7861,4,2,33333,4,33.769,63.807,5,12,1,1,0,0
239,9.8195,4,2,33333,4,33.565,63.961,6,12,1,2,0,0
240,9.8519,4,2,33333,4,33.102,63.120,5,12,0,2,0,0
241,9.8864,4,2,33333,4,33.646,64.445,6,12,1,2,0,0
242,9.9199,4,2,33333,4,33.090,64.535,6,12,1,2,0,0
243,9.9531,4,2,33333,4,34.205,64.242,6,12,1,2,0,0
244,9.9861,4,2,33333,4,33.578,63.895,6,12,1,2,0,0
245,10.0198,4,2,33333,4,33.053,64.182,8,13,1,3,0,0
246,10.0530,4,2,33333,4,33.878,64.087,8,13,1,3,0,0
247,10.0861,4,2,33333,4,33.977,64.081,8,13,1,3,0,0
248,10.1194,4,2,33333,4,34.118,63.914,8,13,1,3,0,0
249,10.1528,4,2,33333,4,34.005,64.035,8,13,1,3,0,0
250,10.1865,4,2,33333,4,33.127,64.376,8,13,1,3,0,0
251,10.2198,4,2,33333,4,34.155,64.415,8,13,1,3,0,0
252,10.2535,4,2,33333,4,34.286,64.893,8,13,1,3,0,0
253,10.2867,4,2,33333,4,34.052,64.512,8,13,1,3,0,0
254,10.3196,4,2,33333,4,33.874,64.117,8,13,1,3,0,0
255,10.3531,4,2,33333,4,34.604,64.445,8,13,1,3,0,0
256,10.3873,4,2,33333,4,33.735,65.546,7,13,1,3,0,0
257,10.4198,4,2,33333,4,33.895,64.107,8,13,1,3,0,0
258,10.4533,4,2,33333,4,34.145,64.321,8,13,1,3,0,0
259,10.4865,4,2,33333,4,33.966,64.478,7,13,1,3,0,0
260,10.5198,4,2,33333,4,33.929,64.498,8,13,1,3,0,0
261,10.5533,4,2,33333,4,34.145,64.344,8,13,1,3,0,0
262,10.5865,4,2,33333,4,33.934,64.353,8,13,1,3,0,0
263,10.6196,4,2,33333,4,33.562,64.295,8,13,1,3,0,0
264,10.6522,4,2,33333,4,33.303,63.406,8,13,1,3,0,0
265,10.6867,4,2,33333,4,33.574,64.479,8,13,1,3,0,0
266,10.7197,4,2,33333,4,33.815,64.188,8,13,1,3,0,0
267,10.7543,4,2,33333,4,34.068,65.263,7,13,1,2,0,0
268,10.7864,4,2,33333,4,33.856,64.243,8,13,1,3,0,0
269,10.8207,4,2,33333,4,33.871,65.188,8,13,1,3,0,0
270,10.8527,4,2,33333,4,33.623,63.886,8,13,1,3,0,0
271,10.8854,4,2,33333,4,33.397,63.495,8,13,1,3,0,0
272,10.9184,4,2,33333,4,32.202,63.412,7,13,1,3,0,0
273,10.9529,4,2,33333,4,33.718,63.953,8,13,1,3,0,0
274,10.9877,4,2,33333,4,33.944,65.640,7,13,1,3,0,0
275,11.0198,4,2,33333,4,33.939,63.968,8,13,1,3,0,0
276,11.0530,4,2,33333,4,34.055,64.240,8,13,1,3,0,0
277,11.0864,4,2,33333,4,33.963,64.523,7,13,1,3,0,0
278,11.1196,4,2,33333,4,33.979,64.276,8,13,1,3,0,0
279,11.1536,4,2,33333,4,34.053,65.301,8,13,1,3,0,0
280,11.1865,4,2,33333,4,33.987,64.575,8,13,1,3,0,0
281,11.2198,4,2,33333,4,33.759,64.119,8,13,1,3,0,0
282,11.2529,4,2,33333,4,33.804,64.197,8,13,1,3,0,0
283,11.2875,4,2,33333,4,34.119,65.547,8,13,1,3,0,0
284,11.3197,4,2,33333,4,33.897,64.168,8,13,1,3,0,0
285,11.3531,4,2,33333,4,34.020,64.249,7,13,1,2,0,0
286,11.3864,4,2,33333,4,33.856,64.593,6,13,1,2,0,0
287,11.4195,4,2,33333,4,33.748,64.208,7,13,1,3,0,0
288,11.4539,4,2,33333,4,34.007,65.269,8,13,1,3,0,0
289,11.4866,4,2,33333,4,34.118,64.708,8,13,1,3,0,0
290,11.5202,4,2,33333,4,33.751,64.951,8,13,1,3,0,0
291,11.5530,4,2,33333,4,33.868,64.241,6,13,1,1,0,0
292,11.5872,4,2,33333,4,33.737,65.028,8,13,1,3,0,0
293,11.6191,4,2,33333,4,33.165,63.731,4,13,0,1,0,0
294,11.6529,4,2,33333,4,34.263,64.262,7,13,1,2,0,0
295,11.6870,4,2,33333,4,33.666,65.427,6,13,0,2,0,0
296,11.7197,4,2,33333,4,33.828,64.528,5,13,0,2,0,0
297,11.7529,4,2,33333,4,33.907,64.061,6,14,1,2,0,0
298,11.7862,4,2,33333,4,33.832,64.205,12,16,3,3,0,0
299,11.8198,4,2,33333,4,34.248,64.493,12,16,3,3,0,0
300,11.8532,4,2,33333,4,34.084,64.336,11,16,2,3,0,0
301,11.8864,4,2,33333,4,34.160,63.352,8,16,2,3,0,0
302,11.9210,4,2,33333,4,34.099,65.927,12,16,3,3,0,0
303,11.9539,4,2,33333,4,34.880,64.954,8,16,2,2,0,0
304,11.9880,4,2,33333,4,35.081,65.927,10,16,2,3,0,0
305,12.0201,4,2,33333,4,34.270,61.112,11,16,3,3,0,0
306,12.0533,4,2,33333,4,34.199,64.469,9,16,1,3,0,0
307,12.0863,4,2,33333,4,33.565,64.188,12,16,3,3,0,0
308,12.1201,4,2,33333,4,34.495,64.639,10,16,2,3,0,0
309,12.1527,4,2,33333,4,33.467,64.158,9,16,2,3,0,0
310,12.1865,4,2,33333,4,33.786,64.304,8,16,2,2,0,0
311,12.2202,4,2,33333,4,34.297,65.034,9,16,2,3,0,0
312,12.2532,4,2,33333,4,34.120,64.510,10,16,2,3,0,0
313,12.2866,4,2,33333,4,34.308,64.744,9,16,2,3,0,0
314,12.3196,4,2,33333,4,33.799,64.169,10,16,2,3,0,0
315,12.3532,4,2,33333,4,34.283,64.469,9,16,2,2,0,0
316,12.3860,4,2,33333,4,33.678,63.871,9,16,2,2,0,0
317,12.4200,4,2,33333,4,33.465,64.565,9,16,2,3,0,0
318,12.4529,4,2,33333,4,33.821,63.864,10,16,2,3,0,0
319,12.4857,4,2,33333,4,33.392,63.769,10,16,2,3,0,0
320,12.5195,4,2,33333,4,33.419,64.432,11,16,3,3,0,0
321,12.5527,4,2,33333,4,33.754,63.847,11,16,2,3,0,0
322,12.5864,4,2,33333,4,34.176,64.602,9,16,2,3,0,0
323,12.6193,4,2,33333,4,33.639,64.215,11,16,3,3,0,0
324,12.6534,4,2,33333,4,33.619,64.956,12,16,3,3,0,0
325,12.6865,4,2,33333,4,33.945,64.584,12,16,3,3,0,0
326,12.7200,4,2,33333,4,34.114,64.729,12,16,3,3,0,0
327,12.7532,4,2,33333,4,34.326,64.371,12,16,3,3,0,0
328,12.7860,4,2,33333,4,33.817,63.869,12,16,3,3,0,0
329,12.8207,4,2,33333,4,34.015,65.323,12,16,3,3,0,0
330,12.8527,4,2,33333,4,33.467,64.251,10,16,1,3,0,0
331,12.8875,4,2,33333,4,34.149,65.322,9,16,1,3,0,0
332,12.9192,4,2,33333,4,33.366,64.055,10,16,2,3,0,0
333,12.9536,4,2,33333,4,34.857,65.013,12,16,3,3,0,0
334,12.9874,4,2,33333,4,34.542,65.565,10,16,2,3,0,0
335,13.0193,4,2,33333,4,33.431,63.775,11,16,2,3,0,0
336,13.0547,4,2,33333,4,34.654,66.062,10,16,2,3,0,0
337,13.0864,4,2,33333,4,34.116,64.512,10,16,2,3,0,0
338,13.1209,4,2,33333,4,33.998,65.660,11,16,3,3,0,0
339,13.1527,4,2,33333,4,33.509,64.010,10,16,3,2,0,0
340,13.1874,4,2,33333,4,34.042,65.547,12,16,3,3,0,0
341,13.2204,4,2,33333,4,34.506,65.256,12,16,3,3,0,0
342,13.2532,4,2,33333,4,33.975,64.498,10,16,3,1,0,0
